chicken,egg,DATE
468491,3581,1930
449743,3532,1931
436815,3327,1932
444523,3255,1933
433937,3156,1934
389958,3081,1935
403446,3166,1936
423921,3443,1937
389624,3424,1938
418591,3561,1939
438288,3640,1940
422841,3840,1941
476935,4456,1942
542047,5000,1943
582197,5366,1944
516497,5154,1945
523227,5130,1946
467217,5077,1947
499644,5032,1948
430876,5148,1949
456549,5404,1950
430988,5322,1951
426555,5323,1952
398156,5307,1953
396776,5402,1954
390708,5407,1955
383690,5500,1956
391363,5442,1957
374281,5442,1958
387002,5542,1959
369484,5339,1960
366082,5358,1961
377392,5403,1962
375575,5345,1963
382262,5435,1964
394118,5474,1965
393019,5540,1966
428746,5836,1967
425158,5777,1968
422096,5629,1969
433280,5704,1970
421763,5806,1971
404191,5742,1972
408769,5502,1973
394101,5461,1974
379754,5382,1975
378361,5377,1976
386518,5408,1977
396933,5608,1978
400585,5777,1979
392110,5825,1980
384838,5625,1981
378609,5800,1982
364584,5656,1983
