Date,ethereum,btc
9/4/2015,1.28,230.09
9/11/2015,1.13,240.08
9/18/2015,0.86,232.72
9/25/2015,0.82,234.84
10/2/2015,0.7,237.4
10/9/2015,0.65,244.32
10/16/2015,0.57,262.94
10/23/2015,0.56,277.46
10/30/2015,1.22,326
11/6/2015,0.9,374.95
11/13/2015,0.9,337.29
11/20/2015,0.94,321.99
11/27/2015,0.88,358.18
12/4/2015,0.81,363.48
12/11/2015,0.85,453.9
12/18/2015,0.93,463.84
12/25/2015,0.86,455.31
1/1/2016,0.94,434.46
1/8/2016,0.94,453.37
1/15/2016,1.18,358.77
1/22/2016,1.55,381.76
1/29/2016,2.57,378.2
2/5/2016,2.55,385.34
2/12/2016,6.38,383.13
2/19/2016,4.33,420.33
2/26/2016,5.8,432.06
3/4/2016,8.72,407.98
3/11/2016,10.78,419.89
3/18/2016,10.67,408.04
3/25/2016,10.79,415.69
4/1/2016,11.37,417.01
4/8/2016,10.28,418.09
4/15/2016,8.28,429.98
4/22/2016,8.19,447.64
4/29/2016,7.34,456.35
5/6/2016,9.8,460.37
5/13/2016,10.31,455.73
5/20/2016,14.55,442.95
5/27/2016,11.78,473.47
6/3/2016,13.73,570.47
6/10/2016,14.29,579.13
6/17/2016,20.77,747.55
6/24/2016,13.87,665.16
7/1/2016,12.41,676.52
7/8/2016,10.09,664.74
7/15/2016,11.62,664.88
7/22/2016,12.63,650.82
7/29/2016,12.73,656.67
8/5/2016,11.05,574.96
8/12/2016,11.65,586.03
8/19/2016,10.68,573.66
8/26/2016,11.45,578.16
9/2/2016,12.03,574.15
9/9/2016,11.49,621.8
9/16/2016,12.02,606.33
9/23/2016,13.23,601.71
9/30/2016,13.09,608.44
10/7/2016,12.88,616.49
10/14/2016,11.75,638.37
10/21/2016,11.75,630.15
10/28/2016,11.49,688.1
11/4/2016,10.97,702.54
11/11/2016,10.43,716.56
11/18/2016,9.92,749.68
11/25/2016,9.24,738.28
12/2/2016,8.26,771.41
12/9/2016,8.22,770.41
12/16/2016,7.9,780.85
12/23/2016,7.57,916.79
12/30/2016,8.48,960.47
1/6/2017,9.87,895.67
1/13/2017,9.71,826.12
1/20/2017,10.4,891.62
1/27/2017,10.43,918.56
2/3/2017,10.75,1018.11
2/10/2017,10.84,993.08
2/17/2017,12.82,1053.12
2/24/2017,13.1,1180.92
3/3/2017,19.88,1290.79
3/10/2017,18.39,1117.02
3/17/2017,47.22,1070.13
3/24/2017,43.16,935.95
3/31/2017,50.17,1079.75
4/7/2017,43.49,1193.02
4/14/2017,48.98,1183.44
4/21/2017,51.89,1257.13
4/28/2017,69.6,1320.05
5/5/2017,98.69,1512.21
5/12/2017,89.58,1676.99
5/19/2017,95.2,1968.1
5/26/2017,96.16,2247.48
6/2/2017,186.7,2517.41
6/9/2017,182.53,2826.7
6/16/2017,164.94,2528.1
6/23/2017,211.72,2738.22
6/30/2017,236.07,2499.98
7/7/2017,256.31,2521.24
7/14/2017,385.02,2232.65
7/21/2017,329.92,2694.29
7/28/2017,353.69,2805.18
8/4/2017,317.79,2883.68
8/11/2017,292.47,3679.61
8/18/2017,264.25,4159.46
8/25/2017,205.98,4408.32
9/1/2017,226.39,4950.72
9/8/2017,225.33,4317.54
9/15/2017,204.83,3686.9
9/22/2017,182.57,3603.31
9/29/2017,225.12,4164.1
10/6/2017,240.1,4370.24
10/13/2017,294.95,5640.13
10/20/2017,297.91,5984.09
10/27/2017,301.51,5767.68
11/3/2017,300.26,7161.45
11/10/2017,324.93,6570.31
11/17/2017,339.86,7689.91
11/24/2017,393.84,8201.46
12/1/2017,311.35,10859.56
12/8/2017,289.72,16057.14
12/15/2017,252.26,17601.94
12/22/2017,285.24,13857.14
12/29/2017,298.32,14427.87
1/5/2018,313.15,16937.17
1/12/2018,333.52,13812.71
1/19/2018,295.47,11514.92
1/26/2018,308.62,11090.06
2/2/2018,296.41,8827.63
2/9/2018,315.59,8689.84
2/16/2018,351.47,10178.71
2/23/2018,470.57,10149.46
3/2/2018,465.55,11019.52
3/9/2018,543.4,9237.05
3/16/2018,845.52,8269.33
3/23/2018,778.3,8918.74
3/30/2018,873.59,6844.32
4/6/2018,1215.02,6620.41
4/13/2018,1122.29,7889.23
4/20/2018,920.54,8863.5
4/27/2018,1172.72,8978.33
5/4/2018,630.37,9692.72
5/11/2018,832.52,8406.17
5/18/2018,948.91,8240.72
5/25/2018,887.09,7460.69
6/1/2018,833.47,7518.24
6/8/2018,696.06,7616.1
