DATE,ip_oecd
3/31/1975,0.46800000000000000
6/30/1975,0.46200000000000000
9/30/1975,0.46800000000000000
12/31/1975,0.47700000000000000
3/31/1976,0.49100000000000000
6/30/1976,0.50300000000000000
9/30/1976,0.50900000000000000
12/31/1976,0.51700000000000000
3/31/1977,0.52400000000000000
6/30/1977,0.52700000000000000
9/30/1977,0.52900000000000000
12/31/1977,0.53200000000000000
3/31/1978,0.53400000000000000
6/30/1978,0.54600000000000000
9/30/1978,0.55400000000000000
12/31/1978,0.56400000000000000
3/31/1979,0.56500000000000000
6/30/1979,0.57300000000000000
9/30/1979,0.57800000000000000
12/31/1979,0.58100000000000000
3/31/1980,0.58600000000000000
6/30/1980,0.57300000000000000
9/30/1980,0.56400000000000000
12/31/1980,0.57200000000000000
3/31/1981,0.57400000000000000
6/30/1981,0.57600000000000000
9/30/1981,0.58100000000000000
12/31/1981,0.57800000000000000
3/31/1982,0.57200000000000000
6/30/1982,0.56700000000000000
9/30/1982,0.56000000000000000
12/31/1982,0.55200000000000000
3/31/1983,0.55700000000000000
6/30/1983,0.56500000000000000
9/30/1983,0.57600000000000000
12/31/1983,0.58900000000000000
3/31/1984,0.60100000000000000
6/30/1984,0.60400000000000000
9/30/1984,0.61400000000000000
12/31/1984,0.61700000000000000
3/31/1985,0.62400000000000000
6/30/1985,0.62800000000000000
9/30/1985,0.63000000000000000
12/31/1985,0.63300000000000000
3/31/1986,0.63500000000000000
6/30/1986,0.63300000000000000
9/30/1986,0.63500000000000000
12/31/1986,0.63800000000000000
3/31/1987,0.64300000000000000
6/30/1987,0.65400000000000000
9/30/1987,0.66200000000000000
12/31/1987,0.67700000000000000
3/31/1988,0.68500000000000000
6/30/1988,0.69100000000000000
9/30/1988,0.69600000000000000
12/31/1988,0.70600000000000000
3/31/1989,0.71300000000000000
6/30/1989,0.71600000000000000
9/30/1989,0.71800000000000000
12/31/1989,0.72200000000000000
3/31/1990,0.72800000000000000
6/30/1990,0.73500000000000000
9/30/1990,0.74000000000000000
12/31/1990,0.74000000000000000
3/31/1991,0.73400000000000000
6/30/1991,0.73100000000000000
9/30/1991,0.73200000000000000
12/31/1991,0.73400000000000000
3/31/1992,0.73400000000000000
6/30/1992,0.73300000000000000
9/30/1992,0.73100000000000000
12/31/1992,0.72700000000000000
3/31/1993,0.72600000000000000
6/30/1993,0.72700000000000000
9/30/1993,0.72700000000000000
12/31/1993,0.73200000000000000
3/31/1994,0.74100000000000000
6/30/1994,0.75500000000000000
9/30/1994,0.76500000000000000
12/31/1994,0.78000000000000000
3/31/1995,0.78300000000000000
6/30/1995,0.78800000000000000
9/30/1995,0.78900000000000000
12/31/1995,0.79500000000000000
3/31/1996,0.80000000000000000
6/30/1996,0.80800000000000000
9/30/1996,0.81500000000000000
12/31/1996,0.82500000000000000
3/31/1997,0.83800000000000000
6/30/1997,0.85000000000000000
9/30/1997,0.86200000000000000
12/31/1997,0.87100000000000000
3/31/1998,0.87500000000000000
6/30/1998,0.87200000000000000
9/30/1998,0.87300000000000000
12/31/1998,0.87700000000000000
3/31/1999,0.88500000000000000
6/30/1999,0.89200000000000000
9/30/1999,0.90500000000000000
12/31/1999,0.92200000000000000
3/31/2000,0.93100000000000000
6/30/2000,0.94800000000000000
9/30/2000,0.95500000000000000
12/31/2000,0.95900000000000000
3/31/2001,0.94600000000000000
6/30/2001,0.93200000000000000
9/30/2001,0.92200000000000000
12/31/2001,0.91000000000000000
3/31/2002,0.91800000000000000
6/30/2002,0.93000000000000000
9/30/2002,0.93700000000000000
12/31/2002,0.93800000000000000
3/31/2003,0.94300000000000000
6/30/2003,0.93700000000000000
9/30/2003,0.94500000000000000
12/31/2003,0.96200000000000000
3/31/2004,0.97100000000000000
6/30/2004,0.98000000000000000
9/30/2004,0.98100000000000000
12/31/2004,0.98400000000000000
3/31/2005,0.99700000000000000
6/30/2005,1.00200000000000000
9/30/2005,1.00400000000000000
12/31/2005,1.01900000000000000
3/31/2006,1.02900000000000000
6/30/2006,1.04100000000000000
9/30/2006,1.04700000000000000
12/31/2006,1.05700000000000000
3/31/2007,1.06600000000000000
6/30/2007,1.07500000000000000
9/30/2007,1.08400000000000000
12/31/2007,1.09000000000000000
3/31/2008,1.09500000000000000
6/30/2008,1.08300000000000000
9/30/2008,1.05600000000000000
12/31/2008,0.99400000000000000
3/31/2009,0.91200000000000000
6/30/2009,0.91100000000000000
9/30/2009,0.93300000000000000
12/31/2009,0.95400000000000000
3/31/2010,0.97600000000000000
6/30/2010,0.99800000000000000
9/30/2010,1.00800000000000000
12/31/2010,1.01800000000000000
3/31/2011,1.02200000000000000
6/30/2011,1.01900000000000000
9/30/2011,1.03400000000000000
12/31/2011,1.03700000000000000
3/31/2012,1.04000000000000000
6/30/2012,1.03900000000000000
9/30/2012,1.03500000000000000
12/31/2012,1.02900000000000000
3/31/2013,1.03200000000000000
6/30/2013,1.03800000000000000
9/30/2013,1.04400000000000000
12/31/2013,1.05300000000000000
3/31/2014,1.06200000000000000
6/30/2014,1.06400000000000000
9/30/2014,1.06400000000000000
12/31/2014,1.07000000000000000
3/31/2015,1.07300000000000000
6/30/2015,1.06900000000000000
9/30/2015,1.07100000000000000
12/31/2015,1.06800000000000000
3/31/2016,1.06900000000000000
6/30/2016,1.06900000000000000
9/30/2016,1.07100000000000000
12/31/2016,1.08200000000000000
3/31/2017,1.08800000000000000
6/30/2017,1.09900000000000000
